1,食,COSTCO,香蕉 水 辣腸 蛋 麵包 Cream Cheese  蛋糕 生菜 番茄 蔥
1,熱,Trader Joe's,"eggs, 肝醬 Chocolate Covered Espresso Beans, bread, Hashbrown"
1,熱,雙味翡翠蟬衣包,馬蘭頭1包 薺菜1包 肉糜0.6磅 百頁1包
1,湯,雙檔,百頁1包 油麵筋1包 肉糜1磅 榨菜1包
1,熱,雙色蝦仁,鳳尾蝦1板 西蘭花1棵 薺菜1包
1,熱,雞汁大煮乾絲,胖白乾6塊
1,熱,雞汁煮米莧,米莧1磅
1,冷,雞汁百頁包,薺菜0.5磅 冬筍1隻 肉糜0.5磅 百頁2刀
1,湯,雞火鳖湯(單人份),老母雞1隻 甲魚1隻
1,熱,雞頭米甜豆,雞頭米0.5磅 甜豆0.5磅
1,熱,雞頭米雀肫,雞頭米0.5磅 雀肫0.5磅
1,熱,雞骨醬,雞架1個 甜麵醬1包
1,湯,雞鴨血湯,鴨血1份 鴨心1份 鴨肫1份 鴨肝1份 鴨腸1份（沒有鴨的用雞的，鴨腸沒有用大腸）
1,熱,雪菜蒸龍躉,雪菜1包 龍躉1.5磅
1,食,雪菜黃魚煨麵,中黃魚6條 鹹菜1包 麵條1包
1,熱,雪菜龍躉魚頭煲,龍躉魚頭1個 雪菜1包
1,熱,雲南黃燜雞,黃毛雞0.5隻（或雞三角1包）
